Movie_Name,Release_Year,Metascore,User_Score,Average,User_Ratings,Duration_Minutes,Genre
The Tomorrow War,2021,0.45,0.66,0.56,247000,138.0,Alien Invasion|Dystopian Sci-Fi|Time Travel|Action|Adventure|Drama|Sci-Fi|Thriller
Barbarian,2022,0.78,0.7,0.74,243000,102.0,Psychological Drama|Psychological Horror|Psychological Thriller|Suspense Mystery|Horror|Mystery|Thriller
The Flash,2023,0.55,0.66,0.6,241000,144.0,Superhero|Supernatural Fantasy|Time Travel|Action|Adventure|Fantasy|Sci-Fi
Nosferatu,2024,0.78,0.72,0.75,240000,132.0,Dark Fantasy|Folk Horror|Supernatural Horror|Vampire Horror|Fantasy|Horror|Mystery
The Black Phone,2021,0.65,0.69,0.67,238000,103.0,Psychological Horror|Supernatural Horror|Horror|Mystery|Thriller
Enola Holmes,2020,0.68,0.66,0.67,238000,123.0,Cozy Mystery|Dark Comedy|Teen Adventure|Teen Drama|Whodunnit|Adventure|Crime|Drama|Mystery
Tomb Raider,2018,0.73,0.63,0.68,237000,119.0,Action Epic|Adventure Epic|Dark Fantasy|Epic|Fantasy Epic|Globetrotting Adventure|Jungle Adventure|Action|Adventure|Fantasy
The Fall Guy,2024,0.48,0.68,0.58,237000,126.0,Romantic Comedy|Showbiz Drama|Action|Comedy|Drama|Romance
Jurassic World: Dominion,2022,0.38,0.56,0.47,237000,147.0,Dinosaur Adventure|Globetrotting Adventure|Action|Adventure|Sci-Fi|Thriller
Ghostbusters: Afterlife,2021,0.45,0.7,0.57,236000,124.0,Supernatural Fantasy|Adventure|Comedy|Fantasy|Sci-Fi
Leave the World Behind,2023,0.68,0.64,0.66,235000,138.0,Psychological Thriller|Drama|Mystery|Thriller
Inside Out 2,2024,0.73,0.75,0.74,233000,96.0,Coming-Of-Age|Computer Animation|Psychological Drama|Quest|Teen Comedy|Teen Drama|Adventure|Animation|Comedy|Drama
Wrath of Man,2021,0.57,0.71,0.64,231000,119.0,Heist|One-Person Army Action|Action|Crime|Thriller
Promising Young Woman,2020,0.72,0.75,0.74,231000,113.0,Psychological Thriller|Suspense Mystery|Tragedy|Whodunnit|Crime|Drama|Mystery|Thriller
Thunderbolts*,2025,0.68,0.71,0.7,230000,127.0,Dark Comedy|Dark Fantasy|Political Drama|Psychological Drama|Superhero|Action|Adventure|Crime|Drama|Fantasy
Anora,2024,0.91,0.74,0.82,230000,139.0,Dark Comedy|Raunchy Comedy|Steamy Romance|Comedy|Drama|Romance
F1: The Movie,2025,0.68,0.77,0.73,228000,155.0,Car Action|Motorsport|Action|Drama|Sport
Upgrade,2018,0.67,0.75,0.71,228000,100.0,Artificial Intelligence|Cyber Thriller|Cyberpunk|Dystopian Sci-Fi|Action|Sci-Fi|Thriller
Smile,2022,0.68,0.65,0.66,227000,115.0,Body Horror|Psychological Horror|Supernatural Horror|Tragedy|Horror|Mystery|Thriller
Indiana Jones and the Dial of Destiny,2023,0.58,0.65,0.62,226000,154.0,Action Epic|Adventure Epic|Epic|Globetrotting Adventure|Sci-Fi Epic|Time Travel|Action|Adventure|Sci-Fi
Ready or Not,2019,0.64,0.68,0.66,224000,95.0,Dark Comedy|Splatter Horror|Action|Comedy|Horror|Mystery|Thriller
Godzilla: King of the Monsters,2019,0.48,0.6,0.54,224000,132.0,Action Epic|Dark Fantasy|Dinosaur Adventure|Disaster|Kaiju|Supernatural Fantasy|Urban Adventure|Action|Adventure|Fantasy
Jungle Cruise,2021,0.5,0.65,0.57,223000,127.0,High-Concept Comedy|Jungle Adventure|Quest|Action|Adventure|Comedy|Fantasy
The Meg,2018,0.46,0.57,0.52,223000,113.0,Kaiju|Action|Horror|Sci-Fi|Thriller
X-Men: Dark Phoenix,2019,0.43,0.57,0.5,223000,113.0,Superhero|Action|Adventure|Sci-Fi
Conclave,2024,0.79,0.74,0.76,222000,120.0,Conspiracy Thriller|Drama|Thriller
The Equalizer 2,2018,0.5,0.67,0.58,222000,121.0,One-Person Army Action|Whodunnit|Action|Crime|Mystery|Thriller
Klaus,2019,0.65,0.82,0.74,221000,96.0,Hand-Drawn Animation|Holiday Animation|Holiday Comedy|Holiday Family|Adventure|Animation|Comedy|Family|Fantasy|Holiday
The Father,2020,0.88,0.82,0.85,220000,97.0,Psychological Drama|Drama|Mystery
Zombieland: Double Tap,2019,0.55,0.67,0.61,220000,99.0,Dark Comedy|Zombie Horror|Action|Comedy|Horror
Another Round,2020,0.79,0.77,0.78,219000,117.0,Danish|Dark Comedy|Psychological Drama|Comedy|Drama
X,2022,0.73,0.65,0.69,216000,105.0,Slasher Horror|Suspense Mystery|Horror|Mystery|Thriller
The Killer,2023,0.8,0.67,0.74,216000,118.0,Globetrotting Adventure|Psychological Thriller|Action|Adventure|Crime|Drama|Thriller
