Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
Nosferatu,2024,7.2,240K,78,2h 12m,"Dark Fantasy, Folk Horror, Supernatural Horror, Vampire Horror, Fantasy, Horror, Mystery"
The Last of Us,2023–,8.1,239K,N/A,1h 16m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
The Black Phone,2021,6.9,238K,65,1h 43m,"Psychological Horror, Supernatural Horror, Horror, Mystery, Thriller"
Enola Holmes,2020,6.6,238K,68,2h 3m,"Cozy Mystery, Dark Comedy, Teen Adventure, Teen Drama, Whodunnit, Adventure, Crime, Drama, Mystery"
Tomb Raider,2018,6.3,237K,73,1h 59m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Globetrotting Adventure, Jungle Adventure, Action, Adventure, Fantasy"
The Fall Guy,2024,6.8,237K,48,2h 6m,"Romantic Comedy, Showbiz Drama, Action, Comedy, Drama, Romance"
Jurassic World: Dominion,2022,5.6,237K,38,2h 27m,"Dinosaur Adventure, Globetrotting Adventure, Action, Adventure, Sci-Fi, Thriller"
Hawkeye,2021,7.4,236K,N/A,TV-14,"Superhero, Action, Adventure, Crime, Drama, Holiday, Mystery, Sci-Fi"
Cobra Kai,2018–2025,8.4,236K,59,TV-14,"Martial Arts, Teen Comedy, Teen Drama, Action, Comedy, Drama, Sport"
Doctor Sleep,2019,7.3,236K,N/A,2h 32m,"Dark Fantasy, Psychological Horror, Supernatural Fantasy, Supernatural Horror, Drama, Fantasy, Horror, Thriller"
Ghostbusters: Afterlife,2021,7,236K,45,2h 4m,"Supernatural Fantasy, Adventure, Comedy, Fantasy, Sci-Fi"
Game of Thrones,2011–2019,7.5,236K,N/A,1h 22m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Psychological Drama, Sword & Sorcery, Tragedy, Action, Adventure"
Leave the World Behind,2023,6.4,235K,68,2h 18m,"Psychological Thriller, Drama, Mystery, Thriller"
Inside Out 2,2024,7.5,233K,73,1h 36m,"Coming-of-Age, Computer Animation, Psychological Drama, Quest, Teen Comedy, Teen Drama, Adventure, Animation, Comedy, Drama"
Wrath of Man,2021,7.1,231K,57,1h 59m,"Heist, One-Person Army Action, Action, Crime, Thriller"
Promising Young Woman,2020,7.5,231K,72,1h 53m,"Psychological Thriller, Suspense Mystery, Tragedy, Whodunnit, Crime, Drama, Mystery, Thriller"
Shōgun,2024–2026,8.6,231K,N/A,TV-MA,"Japanese, Action Epic, Period Drama, Samurai, War Epic, Action, Adventure, Drama, History, War"
Thunderbolts*,2025,7.1,230K,68,2h 7m,"Dark Comedy, Dark Fantasy, Political Drama, Psychological Drama, Superhero, Action, Adventure, Crime, Drama, Fantasy"
Anora,2024,7.4,230K,91,2h 19m,"Dark Comedy, Raunchy Comedy, Steamy Romance, Comedy, Drama, Romance"
Jai Bhim,2021,8.6,230K,N/A,2h 44m,"Tamil, Legal Drama, Crime, Drama"
F1: The Movie,2025,7.7,228K,68,2h 35m,"Car Action, Motorsport, Action, Drama, Sport"
Upgrade,2018,7.5,228K,67,1h 40m,"Artificial Intelligence, Cyber Thriller, Cyberpunk, Dystopian Sci-Fi, Action, Sci-Fi, Thriller"
Smile,2022,6.5,227K,68,1h 55m,"Body Horror, Psychological Horror, Supernatural Horror, Tragedy, Horror, Mystery, Thriller"
