Title,Year,IMDb_Rating,Votes,Metascore,Runtime,Genre
The Mauritanian,2021,7.5,70K,53,2h 9m,"Conspiracy Thriller, Legal Drama, Legal Thriller, Biography, Drama, Thriller"
Do Patti,2024,6.2,70K,N/A,2h 6m,"Hindi, Psychological Drama, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Reminiscence,2021,5.9,70K,46,1h 56m,"Cyber Thriller, Psychological Thriller, Mystery, Romance, Sci-Fi, Thriller"
Resident Evil: Welcome to Raccoon City,2021,5.2,70K,44,1h 47m,"Monster Horror, Supernatural Horror, Zombie Horror, Action, Horror, Sci-Fi"
Missing,2023,7.1,70K,66,1h 51m,"Psychological Thriller, Whodunnit, Drama, Mystery, Thriller"
Woman of the Hour,2023,6.6,70K,74,1h 35m,"Period Drama, Serial Killer, True Crime, Crime, Drama, Mystery"
Black Doves,2024–,7.2,70K,N/A,TV-MA,"Spy, Whodunnit, Action, Drama, Mystery, Thriller"
Better Call Saul,2015–2022,9.9,70K,N/A,50m,"Drug Crime, Epic, Legal Drama, Psychological Drama, Tragedy, Crime, Drama"
Kaiva,2023,7.7,70K,N/A,2h 18m,"Kannada, Action, Drama, Romance"
Mirage,2018,7.4,70K,N/A,2h 8m,"Spanish, Psychological Drama, Supernatural Fantasy, Drama, Fantasy, Mystery, Romance, Thriller"
Asur: Welcome to Your Dark Side,2020–,8.5,69K,N/A,Approved,"Hindi, Psychological Thriller, Crime, Drama, Mystery, Thriller"
Ma,2019,5.6,69K,53,1h 39m,"Psychological Horror, Psychological Thriller, Teen Horror, Horror, Mystery, Thriller"
Leave No Trace,2018,7.1,69K,88,1h 49m,"Coming-of-Age, Jungle Adventure, Adventure, Drama"
My Octopus Teacher,2020,8.1,69K,82,1h 25m,"Nature Documentary, Documentary, Drama"
The Perfect Couple,2024–,6.5,69K,N/A,TV-MA,"Dark Comedy, Whodunnit, Crime, Drama, Mystery"
Emma.,2020,6.7,69K,71,2h 4m,"Coming-of-Age, Costume Drama, Feel-Good Romance, Period Drama, Romantic Comedy, Comedy, Drama, Romance"
Without Remorse,2021,5.8,69K,41,1h 49m,"Conspiracy Thriller, One-Person Army Action, Action, Drama, Thriller, War"
Bones and All,2022,6.8,69K,74,2h 11m,"Coming-of-Age, Road Trip, Tragic Romance, Drama, Horror, Romance"
Downton Abbey,2019,7.4,69K,64,2h 2m,"Costume Drama, Feel-Good Romance, Period Drama, Drama, Romance"
Vikings: Valhalla,2022–2024,7.4,69K,N/A,TV-MA,"Historical Epic, War Epic, Action, Adventure, Drama, History, Romance, War"
Dark Matter,2024–,7.6,69K,N/A,TV-MA,"Psychological Drama, Drama, Sci-Fi, Thriller"
Landman,2024–,8.2,69K,N/A,TV-MA,"Contemporary Western, Drama"
Infinite,2021,5.5,69K,28,1h 46m,"Action, Sci-Fi, Thriller"
The First Omen,2024,6.5,68K,65,1h 59m,"Body Horror, Folk Horror, Supernatural Horror, Horror"
Mowgli: Legend of the Jungle,2018,6.5,68K,51,1h 44m,"Jungle Adventure, Adventure, Drama, Fantasy"
The White Tiger,2021,7.1,68K,76,2h 5m,"Hindi, Crime, Drama"
Velvet Buzzsaw,2019,5.7,68K,61,1h 53m,"Supernatural Horror, Horror, Mystery, Thriller"
Maestro,2023,6.5,68K,77,2h 9m,"Docudrama, Period Drama, Biography, Drama, History, Music, Romance"
The Guilty,2018,7.5,68K,83,1h 25m,"Danish, Cop Drama, Crime, Drama, Thriller"
Chernobyl,2019,9.8,68K,N/A,1h 12m,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Drama, History, Thriller"
Texas Chainsaw Massacre,2022,4.7,68K,34,1h 21m,"Serial Killer, Slasher Horror, Crime, Horror, Thriller"
Deep Water,2022,5.5,68K,53,1h 55m,"Erotic Thriller, Psychological Drama, Psychological Thriller, Crime, Drama, Mystery, Romance, Thriller"
Don't F**k with Cats: Hunting an Internet Killer,2019,8,67K,52,TV-MA,"Crime Documentary, Docuseries, True Crime, Crime, Documentary, Mystery"
The Last Voyage of the Demeter,2023,6.1,67K,N/A,1h 58m,"Dark Fantasy, Supernatural Horror, Vampire Horror, Fantasy, Horror, Thriller"
The Stranger,2020,7.2,67K,N/A,TV-MA,"Psychological Drama, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Purple Hearts,2022,6.7,67K,30,2h 2m,"Feel-Good Romance, Drama, Music, Romance"
The Many Saints of Newark,2021,6.3,67K,60,2h,"Crime, Drama"
Friends: The Reunion,2021,8,67K,N/A,1h 44m,"Biography, Comedy, Documentary, History"
The Last of Us,2023–,9.2,67K,N/A,51m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
A Working Man,2025,5.7,67K,52,1h 56m,"Conspiracy Thriller, One-Person Army Action, Action, Thriller"
Dolemite Is My Name,2019,7.2,67K,76,1h 58m,"Docudrama, Period Drama, Showbiz Drama, Biography, Comedy, Drama"
Masters of the Air,2024,7.8,67K,N/A,TV-MA,"Period Drama, War Epic, Action, Drama, History, War"
Heart of Stone,2023,5.7,67K,44,2h 2m,"Spy, Action, Crime, Thriller"
Ava,2020,5.5,67K,39,1h 36m,"One-Person Army Action, Spy, Action, Crime, Drama, Thriller"
Bleach: Thousand-Year Blood War,2022–,9,67K,N/A,TV-MA,"Japanese, Adult Animation, Anime, Hand-Drawn Animation, Shōnen, Supernatural Fantasy, Urban Adventure, Action, Adventure, Animation"
Better Call Saul,2015–2022,9.8,66K,N/A,1h 9m,"Drug Crime, Epic, Legal Drama, Psychological Drama, Tragedy, Crime, Drama"
Escape Room: Tournament of Champions,2021,5.7,66K,48,1h 28m,"B-Action, B-Horror, Psychological Horror, Psychological Thriller, Suspense Mystery, Whodunnit, Action, Adventure, Horror, Mystery"
Love Hard,2021,6.3,66K,42,1h 44m,"Holiday Comedy, Holiday Romance, Romantic Comedy, Comedy, Holiday, Romance"
Weathering with You,2019,7.5,66K,72,1h 52m,"Japanese, Adult Animation, Anime, Hand-Drawn Animation, Shōjo, Teen Romance, Animation, Drama, Fantasy, Romance"
Pain and Glory,2019,7.5,66K,87,1h 53m,"Spanish, Drama"
Good Girls,2018–2021,7.7,66K,N/A,TV-14,"Caper, Comedy, Crime, Drama"
You People,2023,5.5,66K,50,1h 57m,"Dark Comedy, Comedy, Romance"
Clickbait,2021,7.2,66K,N/A,TV-MA,"Cyber Thriller, Epic, Psychological Drama, Whodunnit, Crime, Drama, Mystery, Thriller"
Fool Me Once,2024,6.8,66K,N/A,TV-MA,"Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller"
The Flight Attendant,2020–2022,7,66K,N/A,TV-MA,"Dark Comedy, Suspense Mystery, Whodunnit, Comedy, Drama, Mystery, Thriller"
Nobody Wants This,2024–,7.8,66K,N/A,TV-MA,"Feel-Good Romance, Romantic Comedy, Comedy, Drama, Romance"
Totally Killer,2023,6.5,66K,62,1h 46m,"Slasher Horror, Teen Horror, Time Travel, Comedy, Horror, Mystery, Sci-Fi"
Sanju,2018,7.6,66K,N/A,2h 35m,"Hindi, Docudrama, Showbiz Drama, Biography, Comedy, Drama"
Bodies,2023,7.3,66K,N/A,TV-MA,"Period Drama, Crime, Drama, Mystery, Thriller"
Archive 81,2022,7.3,66K,N/A,TV-MA,"Found Footage Horror, Suspense Mystery, Drama, Horror, Mystery, Sci-Fi, Thriller"
Always Be My Maybe,2019,6.7,66K,64,1h 41m,"Romantic Comedy, Comedy, Romance"
In the Shadow of the Moon,2019,6.2,66K,48,1h 55m,"Cyber Thriller, Time Travel, Action, Crime, Mystery, Sci-Fi, Thriller"
Attack on Titan,2013–2023,9.7,66K,N/A,24m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Gangubai Kathiawadi,2022,7.8,66K,N/A,2h 32m,"Hindi, True Crime, Biography, Crime, Drama"
Tully,2018,6.9,65K,53,1h 35m,"Coming-of-Age, Quirky Comedy, Comedy, Drama, Mystery"
Hubie Halloween,2020,5.3,65K,75,1h 43m,"Dark Comedy, Quirky Comedy, Satire, Comedy, Horror, Mystery"
Motherless Brooklyn,2019,6.8,65K,60,2h 24m,"Cop Drama, Period Drama, Crime, Drama, Mystery"
Emily the Criminal,2022,6.7,65K,75,1h 37m,"Heist, Psychological Drama, Psychological Thriller, Workplace Drama, Crime, Drama, Mystery, Thriller"
The Mandalorian,2019–,9.8,65K,N/A,44m,"Action Epic, Adventure Epic, Fantasy Epic, One-Person Army Action, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Fantasy, Sci-Fi"
The Last of Us,2023–,8.7,65K,N/A,59m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
The Lord of the Rings: The Rings of Power,2022–,7.3,65K,N/A,1h 5m,"Adventure Epic, Epic, Fantasy Epic, Sword & Sorcery, Action, Adventure, Drama, Fantasy"
Adrift,2018,6.6,65K,56,1h 36m,"Disaster, Sea Adventure, Survival, Action, Adventure, Biography, Drama, Romance, Thriller"
The Man from Toronto,2022,5.8,65K,34,1h 50m,"Buddy Comedy, Dark Comedy, Action, Adventure, Comedy, Thriller"
The Apprentice,2024,7.1,65K,64,2h 2m,"Docudrama, Period Drama, Biography, Drama, History"
House of the Dragon,2022–,8.7,65K,N/A,1h 3m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Karthikeya 2,2022,7.8,65K,N/A,2h 30m,"Telugu, Quest, Action, Adventure, Fantasy, Mystery, Thriller"
Poker Face,2023–,7.8,65K,N/A,TV-MA,"Bumbling Detective, Whodunnit, Comedy, Crime, Drama, Mystery"
Ferrari,2023,6.4,65K,73,2h 10m,"Docudrama, Motorsport, Biography, Drama, History, Sport"
Kinds of Kindness,2024,6.5,65K,N/A,2h 44m,"Dark Comedy, Tragedy, Comedy, Drama, Horror"
The Summer I Turned Pretty,2022–2025,7.3,65K,64,TV-14,"Coming-of-Age, Romantic Comedy, Teen Drama, Teen Romance, Drama, Romance"
Decision to Leave,2022,7.3,65K,85,2h 19m,"Korean, Whodunnit, Crime, Drama, Mystery, Romance, Thriller"
Cold War,2018,7.5,65K,90,1h 29m,"Drama, Music, Romance"
Tandav,2021–,4.7,64K,N/A,TV-14,"Hindi, Political Drama, Drama, Thriller"
Apostle,2018,6.3,64K,62,2h 10m,"Body Horror, Dark Fantasy, Folk Horror, Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Fantasy, Horror, Mystery"
Ripley,2024,8.1,64K,59,TV-MA,"Psychological Thriller, Crime, Drama, Thriller"
We Live in Time,2024,7,64K,N/A,1h 48m,"Feel-Good Romance, Drama, Romance"
Titane,2021,6.5,64K,75,1h 48m,"French, Body Horror, Psychological Horror, Psychological Thriller, Supernatural Horror, Drama, Horror, Sci-Fi, Thriller"
BlackBerry,2023,7.3,64K,78,2h,"Docudrama, Period Drama, Workplace Drama, Biography, Comedy, Drama, History, Financial Drama"
The Curse of La Llorona,2019,5.3,64K,41,1h 33m,"Folk Horror, Horror, Mystery, Thriller"
Star Wars: The Bad Batch,2021–2024,7.8,64K,N/A,TV-PG,"Computer Animation, Space Sci-Fi, Tragedy, Action, Adventure, Animation, Drama, Fantasy, Sci-Fi"
Mayor of Kingstown,2021–,8.1,64K,N/A,TV-MA,"Epic, Crime, Drama, Thriller"
The Alienist,2018–2020,7.7,64K,N/A,TV-MA,"Period Drama, Police Procedural, Serial Killer, Suspense Mystery, Whodunnit, Crime, Drama, Mystery"
House of the Dragon,2022–,8.3,64K,N/A,54m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
The Sea Beast,2022,7,64K,74,1h 55m,"Adventure Epic, Computer Animation, Sea Adventure, Swashbuckler, Action, Adventure, Animation, Comedy, Family, Fantasy"
The Watchers,2024,5.7,63K,46,1h 42m,"Folk Horror, Supernatural Horror, Suspense Mystery, Fantasy, Horror, Mystery, Thriller"
The Lodge,2019,6,63K,64,1h 48m,"Folk Horror, Psychological Horror, Psychological Thriller, Suspense Mystery, Tragedy, Drama, Horror, Mystery, Thriller"
Color Out of Space,2019,6.1,63K,70,1h 51m,"Body Horror, Supernatural Horror, Horror, Mystery, Sci-Fi, Thriller"
Fate: The Winx Saga,2021–2022,6.8,63K,N/A,TV-MA,"Superhero, Supernatural Fantasy, Teen Fantasy, Action, Adventure, Drama, Fantasy"
Fantasy Island,2020,4.9,63K,22,1h 49m,"Supernatural Horror, Suspense Mystery, Fantasy, Horror, Mystery"
Strange Darling,2023,7,63K,80,1h 37m,"Erotic Thriller, Psychological Thriller, Horror, Thriller"
Stillwater,2021,6.6,63K,60,2h 19m,"Psychological Drama, Whodunnit, Crime, Drama, Mystery, Thriller"
Doom Patrol,2019–2023,7.7,63K,N/A,TV-MA,"Superhero, Action, Adventure, Comedy, Crime, Drama, Fantasy, Mystery, Sci-Fi, Thriller"
One Day,2024,8,63K,N/A,TV-MA,"Coming-of-Age, Romantic Comedy, Comedy, Drama, Romance"
Attack on Titan,2013–2023,9.5,62K,N/A,1h 1m,"Japanese, Action Epic, Adult Animation, Anime, Body Horror, Dark Fantasy, Folk Horror, Hand-Drawn Animation, Monster Horror, Shōnen"
Pushpa: The Rule - Part 2,2024,6.1,62K,N/A,3h 21m,"Telugu, Action Epic, Gangster, One-Person Army Action, Action, Crime, Drama, Thriller"
Dasvi,2022,7.3,62K,N/A,2h 5m,"Hindi, Comedy, Drama"
Guillermo del Toro's Cabinet of Curiosities,2022,7,62K,N/A,TV-MA,"Body Horror, Supernatural Horror, Drama, Horror, Mystery, Thriller"
The Call of the Wild,2020,6.7,62K,70,1h 40m,"Adventure Epic, Animal Adventure, Mountain Adventure, Quest, Survival, Adventure, Drama, Family"
Materialists,2025,6.3,62K,48,1h 56m,"Feel-Good Romance, Romantic Comedy, Comedy, Romance"
How It Ends,2018,5.1,62K,36,1h 53m,"Disaster, Action, Drama, Horror, Mystery, Thriller"
The Righteous Gemstones,2019–2025,8.1,62K,N/A,TV-MA,"Dark Comedy, Comedy, Drama, Financial Drama"
Havoc,2025,5.6,62K,57,1h 47m,"Conspiracy Thriller, Drug Crime, Gun Fu, Martial Arts, One-Person Army Action, Suspense Mystery, Action, Crime, Drama, Mystery"
The Recruit,2022–2025,7.4,62K,N/A,TV-MA,"Dark Comedy, Spy, Action, Adventure, Crime, Drama, Thriller"
Back in Action,2025,5.9,62K,46,1h 54m,"Spy, Action, Comedy"
Ironheart,2025,4.5,62K,N/A,TV-14,"Superhero, Action, Adventure, Fantasy, Sci-Fi"
Honest Thief,2020,6,62K,46,1h 39m,"Dark Comedy, One-Person Army Action, Action, Crime, Drama, Thriller"
IF,2024,6.4,62K,46,1h 44m,"Computer Animation, High-Concept Comedy, Animation, Comedy, Drama, Family, Fantasy"
Dune: Prophecy,2024–,7.3,62K,N/A,TV-MA,"Action Epic, Adventure Epic, Desert Adventure, Epic, Sci-Fi Epic, Action, Adventure, Drama, Sci-Fi"
Arctic,2018,6.8,62K,60,1h 38m,"Survival, Adventure, Drama"
The Thursday Murder Club,2025,6.5,62K,71,1h 58m,"Whodunnit, Comedy, Crime, Mystery, Thriller"
Chaos Walking,2021,5.7,62K,35,1h 49m,"Coming-of-Age, Space Sci-Fi, Survival, Teen Adventure, Teen Fantasy, Action, Adventure, Drama, Fantasy, Sci-Fi"
Rebel Moon - Part Two: The Scargiver,2024,5.3,62K,38,2h 2m,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Gun Fu, Sci-Fi Epic, Space Sci-Fi, Action, Adventure"
Shaft,2019,6.4,61K,40,1h 51m,"Buddy Cop, Dark Comedy, Whodunnit, Action, Comedy, Crime, Mystery"
The Old Man,2022–2024,7.5,61K,N/A,TV-MA,"One-Person Army Action, Spy, Action, Drama, Thriller"
Hotel Artemis,2018,6.1,61K,58,1h 34m,"Dark Comedy, Action, Crime, Drama, Sci-Fi, Thriller"
Spies in Disguise,2019,6.8,61K,54,1h 42m,"Buddy Comedy, Computer Animation, Superhero, Action, Adventure, Animation, Comedy, Drama, Family, Sci-Fi"
Kingdom,2019–2020,8.3,61K,N/A,TV-MA,"Korean, Korean Drama, Period Drama, Zombie Horror, Action, Drama, Horror, Thriller"
Rocketry: The Nambi Effect,2022,8.6,61K,N/A,2h 37m,"Hindi, Biography, Drama"
Chernobyl,2019,9.4,61K,N/A,58m,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Drama, History, Thriller"
The Great,2020–2023,8.1,61K,45,TV-MA,"Costume Drama, Dark Comedy, Historical Epic, Period Drama, Satire, Biography, Comedy, Drama, History"
The Chestnut Man,2021–,7.6,61K,N/A,TV-MA,"Danish, Police Procedural, Serial Killer, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Insidious: The Red Door,2023,5.5,61K,N/A,1h 47m,"Supernatural Horror, Suspense Mystery, Horror, Mystery, Thriller"
Speak No Evil,2022,6.6,61K,78,1h 37m,"Psychological Drama, Psychological Horror, Psychological Thriller, Drama, Horror, Mystery, Thriller"
Love Lies Bleeding,2024,6.6,61K,77,1h 44m,"Dark Romance, Drug Crime, Erotic Thriller, Crime, Drama, Mystery, Romance, Thriller"
Extinction,2018,5.8,61K,40,1h 35m,"Artificial Intelligence, Action, Drama, Sci-Fi, Thriller"
7,2019,8.2,61K,N/A,2h 12m,"Turkish, Prison Drama, Psychological Drama, Drama"
Dragged Across Concrete,2018,6.9,60K,60,2h 39m,"Dark Comedy, Heist, Police Procedural, Action, Crime, Drama, Thriller"
House of the Dragon,2022–,9.3,60K,N/A,1h 7m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
The Lord of the Rings: The Rings of Power,2022–,7.3,60K,N/A,1h 7m,"Adventure Epic, Epic, Fantasy Epic, Sword & Sorcery, Action, Adventure, Drama, Fantasy"
Little Fires Everywhere,2020,7.6,60K,N/A,TV-MA,"Epic, Psychological Drama, Teen Drama, Drama, Mystery, Thriller"
"Red, White & Royal Blue",2023,7,60K,62,1h 58m,"Feel-Good Romance, Romantic Comedy, Satire, Screwball Comedy, Steamy Romance, Comedy, Romance"
Ma Rainey's Black Bottom,2020,6.9,60K,66,1h 34m,"Period Drama, Drama, Music"
Dumb Money,2023,6.8,60K,87,1h 45m,"Docudrama, Biography, Comedy, Drama, Financial Drama"
The Last of Us,2023–,9.1,60K,N/A,57m,"Dystopian Sci-Fi, Psychological Drama, Quest, Survival, Zombie Horror, Action, Adventure, Drama, Horror, Sci-Fi"
Captive State,2019,6,60K,54,1h 49m,"Alien Invasion, Dystopian Sci-Fi, Sci-Fi, Thriller"
Samaritan,2022,5.7,60K,45,1h 42m,"Superhero, Action, Drama, Fantasy, Sci-Fi"
9/1/2001,2018–,7.9,60K,N/A,TV-14,"Disaster, Medical Drama, Action, Drama, Thriller"
House of the Dragon,2022–,9.4,60K,N/A,55m,"Fantasy Epic, Political Drama, Sword & Sorcery, Action, Adventure, Drama, Fantasy, Romance"
Togo,2019,7.9,60K,69,1h 53m,"Animal Adventure, Adventure, Biography, Drama, Family, History"
The Terror,2018–2025,7.8,60K,N/A,TV-14,"Period Drama, Psychological Horror, Adventure, Drama, Horror, Thriller"
Untamed,2025–,7.1,60K,N/A,TV-MA,"Crime, Drama, Mystery, Thriller"
Hillbilly Elegy,2020,6.7,60K,38,1h 56m,"Coming-of-Age, Psychological Drama, Biography, Drama"
Nimona,2023,7.5,60K,75,1h 41m,"Adventure Epic, Computer Animation, Cyberpunk, Fantasy Epic, Quest, Sword & Sorcery, Action, Adventure, Animation, Comedy"
I Feel Pretty,2018,5.7,60K,48,1h 50m,"Comedy, Romance"
Laxmii,2020,2.6,60K,N/A,2h 21m,"Hindi, Action, Comedy, Horror"
Child's Play,2019,5.7,59K,48,1h 30m,"Cyber Thriller, Slasher Horror, Drama, Horror, Sci-Fi, Thriller"
Safe,2018,7.2,59K,N/A,TV-MA,"Psychological Thriller, Suspense Mystery, Whodunnit, Crime, Drama, Mystery, Thriller"
The Dirt,2019,7,59K,39,1h 47m,"Dark Comedy, Docudrama, Biography, Comedy, Drama, Music"
Blood Red Sky,2021,6.1,59K,43,2h 1m,"German, Supernatural Horror, Vampire Horror, Action, Drama, Horror, Thriller"
Watcher,2022,6.3,59K,72,1h 36m,"Psychological Thriller, Whodunnit, Drama, Horror, Mystery, Thriller"
Ricky Stanicky,2024,6.2,59K,44,1h 53m,"Raunchy Comedy, Comedy"
Pieces of a Woman,2020,7,59K,66,2h 6m,"Psychological Drama, Drama"
Transformers One,2024,7.6,59K,65,1h 44m,"Action Epic, Adventure Epic, Computer Animation, Fantasy Epic, Sci-Fi Epic, Space Sci-Fi, Action, Adventure, Animation, Family"
Official Secrets,2019,7.3,59K,63,1h 52m,"Political Thriller, True Crime, Biography, Crime, Drama, Thriller, War"
Luckiest Girl Alive,2022,6.4,59K,54,1h 53m,"Psychological Drama, Whodunnit, Drama, Mystery, Thriller"
The Croods: A New Age,2020,6.9,59K,56,1h 35m,"Computer Animation, Adventure, Animation, Comedy, Family, Fantasy"
The Woman in the House Across the Street from the Girl in the Window,2022,6.4,59K,N/A,TV-MA,"Dark Comedy, Satire, Suspense Mystery, Comedy, Crime, Drama, Mystery, Thriller"
Zero Day,2025,7,59K,N/A,TV-MA,"Conspiracy Thriller, Cyber Thriller, Political Drama, Political Thriller, Drama, Thriller"
Mary Queen of Scots,2018,6.3,59K,60,2h 4m,"Costume Drama, Period Drama, Biography, Drama, History"
Indian Police Force,2024–,5,59K,N/A,N/A,"Hindi, Cop Drama, Action, Crime, Drama, Thriller"
Aashram,2020–,6.6,59K,N/A,N/A,"Hindi, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Our Planet,2019–2023,9.2,59K,N/A,TV-PG,"Docuseries, Nature Documentary, Documentary"
Hacks,2021–,8.2,59K,N/A,TV-MA,"High-Concept Comedy, Showbiz Drama, Sitcom, Workplace Drama, Comedy, Drama"
The House with a Clock in Its Walls,2018,6.1,58K,57,1h 45m,"Dark Fantasy, Steampunk, Comedy, Family, Fantasy, Mystery, Sci-Fi"
Warrior Nun,2020–2022,7,58K,N/A,TV-MA,"Fantasy Epic, Superhero, Supernatural Fantasy, Teen Drama, Teen Fantasy, Action, Drama, Fantasy"
Cats,2019,2.8,58K,32,1h 50m,"Pop Musical, Comedy, Drama, Family, Fantasy, Musical"
Bo Burnham: Inside,2021,8.6,58K,N/A,1h 27m,"Dark Comedy, Psychological Drama, Satire, Stand-Up, Comedy, Documentary, Drama, Music"
Heads of State,2025,6.4,58K,57,1h 56m,"Buddy Comedy, Buddy Cop, Action, Comedy, Thriller"
Formula 1: Drive to Survive,2019–,8.5,58K,N/A,TV-MA,"Docuseries, Motorsport, Sports Documentary, Documentary, Sport"
Can You Ever Forgive Me?,2018,7.1,58K,87,1h 46m,"Docudrama, Period Drama, True Crime, Biography, Comedy, Crime, Drama"
Atlas,2024,5.6,58K,37,1h 58m,"Action Epic, Artificial Intelligence, Space Sci-Fi, Action, Adventure, Drama, Sci-Fi, Thriller"
Suzume,2022,7.6,58K,77,2h 2m,"Japanese, Anime, Hand-Drawn Animation, Shōjo, Adventure, Animation, Drama, Fantasy"
The Babysitter: Killer Queen,2020,5.8,58K,22,1h 41m,"Dark Comedy, Teen Horror, Comedy, Horror"
Shamshera,2022,4.7,58K,N/A,2h 58m,"Hindi, Action Epic, Epic, Period Drama, Action, Adventure, Drama"
Under the Silver Lake,2018,6.5,58K,60,2h 19m,"Dark Comedy, Psychological Thriller, Suspense Mystery, Crime, Horror, Mystery, Thriller"
Virgin River,2019–,7.4,58K,N/A,TV-14,"Feel-Good Romance, Soap Opera, Drama, Romance"
Judy,2019,6.8,57K,66,1h 58m,"Docudrama, Period Drama, Biography, Drama, Music, Romance"
Hocus Pocus 2,2022,6,57K,56,1h 43m,"Supernatural Fantasy, Comedy, Family, Fantasy"
One Piece,1999–,9.5,57K,N/A,24m,"Japanese, Action Epic, Adventure Epic, Anime, Epic, Fantasy Epic, Globetrotting Adventure, Hand-Drawn Animation, Martial Arts, Quest"
Immaculate,2024,5.8,57K,57,1h 29m,"Body Horror, Folk Horror, Supernatural Horror, Horror, Thriller"
The Laundromat,2019,6.3,57K,57,1h 36m,"True Crime, Comedy, Crime, Drama, History, Financial Drama"
Raatchasan,2018,8.3,57K,N/A,2h 26m,"Tamil, Psychological Thriller, Serial Killer, Suspense Mystery, Crime, Drama, Mystery, Thriller"
Code 8,2019,6.1,57K,48,1h 38m,"Heist, Superhero, Action, Crime, Drama, Sci-Fi, Thriller"
A Rainy Day in New York,2019,6.4,57K,38,1h 32m,"Romantic Comedy, Comedy, Romance"
Da 5 Bloods,2020,6.5,57K,82,2h 34m,"Jungle Adventure, Adventure, Drama, War"
Terrifier 3,2024,6.3,57K,62,2h 5m,"Body Horror, Dark Comedy, Slasher Horror, Splatter Horror, Supernatural Horror, Teen Horror, Holiday, Horror"
The Guernsey Literary and Potato Peel Pie Society,2018,7.3,57K,65,2h 4m,"Feel-Good Romance, Period Drama, Drama, Romance, War"
Marighella,2019,7.1,57K,N/A,2h 35m,"Portuguese, Docudrama, Political Thriller, Action, Drama, History, Thriller"
Enes Batur: Imagination or Reality?,2018,2,57K,N/A,1h 50m,Turkish
Taaza Khabar,2023–,8,57K,N/A,N/A,"Hindi, Action, Comedy, Drama, Fantasy, Thriller"
When Evil Lurks,2023,6.9,56K,75,1h 39m,"Spanish, Body Horror, Folk Horror, Supernatural Horror, Horror"
When We First Met,2018,6.4,56K,36,1h 37m,"Romantic Comedy, Comedy, Fantasy, Romance"
Spirited,2022,6.6,56K,55,2h 7m,"Dark Comedy, Dark Fantasy, Fairy Tale, Holiday Comedy, Holiday Family, Pop Musical, Comedy, Family, Fantasy, Holiday"
Dracula,2020,6.8,56K,N/A,TV-14,"Dark Fantasy, Monster Horror, Period Drama, Supernatural Horror, Vampire Horror, Action, Drama, Fantasy, Horror, Thriller"
The Family Plan,2023,6.3,56K,39,1h 58m,"Car Action, Martial Arts, Action, Comedy"
Chernobyl,2019,9.6,56K,N/A,1h 5m,"Disaster, Docudrama, Epic, Historical Epic, Period Drama, Psychological Drama, Drama, History, Thriller"
The Union,2024,5.5,56K,44,1h 47m,"Buddy Comedy, Spy, Action, Comedy, Thriller"
The Order,2024,6.8,56K,75,1h 56m,"Heist, True Crime, Crime, Drama, Thriller"
Tiger 3,2023,5.7,56K,N/A,2h 35m,"Hindi, Action Epic, Globetrotting Adventure, Spy, Action, Adventure, Thriller"
Bill & Ted Face the Music,2020,5.9,56K,65,1h 31m,"Buddy Comedy, Quest, Time Travel, Adventure, Comedy, Music, Sci-Fi"
Chor Nikal Ke Bhaga,2023,7.2,56K,N/A,1h 50m,"Hindi, Crime, Drama, Thriller"
Shaitaan,2024,6.5,56K,N/A,2h 12m,"Hindi, Psychological Drama, Psychological Horror, Psychological Thriller, Supernatural Horror, Teen Horror, Drama, Horror, Thriller"
Do Revenge,2022,6.3,55K,66,1h 58m,"Dark Comedy, Teen Comedy, Comedy, Drama, Romance, Thriller"
The Way Back,2020,6.7,55K,66,1h 48m,"Basketball, Drama, Sport"
Chamak,2023–,6.8,55K,N/A,N/A,"Hindi, Crime, Drama, Musical, Thriller"
Stowaway,2021,5.7,55K,63,1h 56m,"Space Sci-Fi, Adventure, Sci-Fi, Thriller"
Land of Bad,2024,6.6,55K,57,1h 53m,"Martial Arts, Spy, Action, Thriller"
Spy x Family,2022–,8.2,55K,N/A,TV-14,"Japanese, Adult Animation, Anime, Hand-Drawn Animation, Shōnen, Slice of Life, Spy, Action, Animation, Comedy"
